"id","name","price","categorie"
"pt001","cuates","0.50","Snack"
"pt002","Blackout","1.00","Galleta"
"pt003","Chizitos","0.50","Snack"
"pt004","Pulp taco","1.00","Bebidas"
"pt005","Inka Kola 500ml","2.50","Bebidas"
"pt006","Coca Cola 500ml","2.50","Bebidas"
"pt007","Oreo vainilla","1.20","Galleta"
"pt008","Field coronita","0.80","Galleta"
"pt009","Sublime clásico","1.50","Chocolate"
"pt010","Doña Pepa","1.50","Galleta"
"pt011","Casino fresa","1.00","Galleta"
"pt012","Chokis chispas","1.20","Galleta"
"pt013","Lays clásica 50g","1.50","Snack"
"pt014","Cheetos queso 40g","1.30","Snack"
"pt015","Pringles original 100g","4.50","Snack"
"pt016","Pan Bimbo familiar","6.50","Panadería"
"pt017","Leche Gloria tarro 400g","4.00","Lácteos"
"pt018","Yogurt Laive fresa 1L","5.00","Lácteos"
"pt019","Agua San Luis 625ml","1.00","Bebidas"
"pt020","Red Bull lata 250ml","7.00","Bebidas"
"pt021","Galleta Soda Field","0.80","Galleta"
"pt022","Fanta naranja 500ml","2.50","Bebidas"
"pt023","Trident menta","1.00","Chicle"
"pt024","Colgate triple acción 90g","4.20","Aseo personal"
